n,prueba,esperado,obtenido,ok
27,regresión: el permiso de corrección de horas funciona igual,sin_permiso=Pídele permiso a Edgar para corregir este reporte (toca ✎ y confirma) pedir=pedida corregir=7.0/- otra_vez=Pídele permiso a Edgar para corregir este reporte (toca ✎ y confirma),sin_permiso=Pídele permiso a Edgar para corregir este reporte (toca ✎ y confirma) pedir=pedida corregir=7.0/- otra_vez=Pídele permiso a Edgar para corregir este reporte (toca ✎ y confirma),true
28,"devengo estándar: reversible, etiquetado, y no se duplica",accion=posteado linea=5000:240.00:5415-roberto-9ojv:C3-DEV reversible=t auto_reverso=2026-11-01 estandar=t repetir=sin_cambios control=t,accion=posteado linea=5000:240.00:5415-roberto-9ojv:C3-DEV reversible=t auto_reverso=2026-11-01 estandar=t repetir=sin_cambios control=t,true
29,regresión: el equipo sube un recibo como siempre,subir=ok estado=por_leer puente=no_aplica/antes_del_corte ve_en_recibos_equipo=1 ve_la_tabla=0 asientos=0/0,subir=ok estado=por_leer puente=no_aplica/antes_del_corte ve_en_recibos_equipo=1 ve_la_tabla=0 asientos=0/0,true
30,"regresión: Edgar lee, corrige (✎), asigna (📌), pone foto (📷) y borra",lee=1 lapiz=espera/por_leer→contabilizado chincheta=pendiente/sin_obra→contabilizado camara=pendiente/sin_foto→contabilizado borrar=1,lee=1 lapiz=espera/por_leer→contabilizado chincheta=pendiente/sin_obra→contabilizado camara=pendiente/sin_foto→contabilizado borrar=1,true
31,"regresión: el recibo marca el material comprado, y al anularlo vuelve a falta",al_subir=comprado/-3100411 al_anular=falta/-,al_subir=comprado/-3100411 al_anular=falta/-,true
32,la lectura de cerebro en varios pasos entra una vez,asientos=1/0 camino=puente rol=service_role lineas=5100:312.40:5415-roberto-9ojv:CO-3:-:- | 2100-9998:-312.40:-:-:-:-,asientos=1/0 camino=puente rol=service_role lineas=5100:312.40:5415-roberto-9ojv:CO-3:-:- | 2100-9998:-312.40:-:-:-:-,true
33,"quién puede qué: contabilizado_en, funciones de Edgar, anon, tablas nuevas","contabilizado_en=MX003/MX003/MX003 equipo=42501,42501,42501,42501,42501 anon_ejecuta=0 internas_api=0 equipo_ve=0 anon_lee=42501","contabilizado_en=MX003/MX003/MX003 equipo=42501,42501,42501,42501,42501 anon_ejecuta=0 internas_api=0 equipo_ve=0 anon_lee=42501",true
34,nunca a 2300 desde un recibo,categoria=MX004 banco=MX004 tarjeta=MX004 control_use_tax=t,categoria=MX004 banco=MX004 tarjeta=MX004 control_use_tax=t,true
35,trabajo externo: se corrige y se anula; no se borra,editar=3/1:350.00 borrar=MX003/dice_como anular=4/2:no_aplica/costo_cero motivo=t papel=0,editar=3/1:350.00 borrar=MX003/dice_como anular=4/2:no_aplica/costo_cero motivo=t papel=0,true
36,"una regla nueva no rehace lo contabilizado; fn_puentes_rehacer sí, con motivo",tras_cambiar_regla=5100 tras_correr=5100 rehecho=5300 enlazado=t motivo=t historial=t,tras_cambiar_regla=5100 tras_correr=5100 rehecho=5300 enlazado=t motivo=t historial=t,true
37,una obra con papeles en el libro no se borra,borrar_obra=MX003/dice_que_hacer,borrar_obra=MX003/dice_que_hacer,true
38,una cuenta sin obra (gasolina): la obra queda en la nota,lineas=6300:25.00:-:-:-:- | 2100-9998:-25.00:-:-:-:- obra_en_la_nota=t nota=t,lineas=6300:25.00:-:-:-:- | 2100-9998:-25.00:-:-:-:- obra_en_la_nota=t nota=t,true
39,"el puente apagado se detecta, y el backfill lo pone al día",apagado: triggers=f documentos=f/cambio_por_debajo backfill: documentos=t asientos=3/1,apagado: triggers=f documentos=f/cambio_por_debajo backfill: documentos=t asientos=3/1,true
40,al confirmar una mezcla de todo: libro y puentes en verde,libro=t puentes=documentos:t mano_de_obra:t reglas:t triggers:t use_tax:t,libro=t puentes=documentos:t mano_de_obra:t reglas:t triggers:t use_tax:t,true
41,el equipo no mete un recibo ya leído con su monto,leido_con_monto=42501 reembolso_a_si_mismo=42501 asientos=0,leido_con_monto=42501 reembolso_a_si_mismo=42501 asientos=0,true
42,ningún puente de papel carga a mano de obra,categoria_mano_de_obra=MX004 categoria_burden=MX004 subcontratos_a_mano_de_obra=MX004,categoria_mano_de_obra=MX004 categoria_burden=MX004 subcontratos_a_mano_de_obra=MX004,true
43,un movimiento del banco casa con un solo cobro,mismo_movimiento=MX008 casar=ok cambiar=MX003,mismo_movimiento=MX008 casar=ok cambiar=MX003,true
44,nada queda en un limbo: lo que no postea está en la bandeja,bandeja=-3100600:sin_monto -3100601:sin_obra -3100602:tipo_proyecto -3100603:categoria con_motivo=4 asientos=0,bandeja=-3100600:sin_monto -3100601:sin_obra -3100602:tipo_proyecto -3100603:categoria con_motivo=4 asientos=0,true
45,el papel no se borra en Storage,recibo=0 documento=0 foto_de_obra=1 control=t,omitida: esta base no deja borrar de Storage por SQL (42501): se prueba en el banco,null
46,un proveedor con movimientos en el libro no se borra,con_movimientos=MX003/dice_que_hacer sin_movimientos=borrado,con_movimientos=MX003/dice_que_hacer sin_movimientos=borrado,true
47,materiales: la escritura del puente no marca comprado un material nuevo,rehacer=sustituido material=falta/-,rehacer=sustituido material=falta/-,true
48,"horas: Edgar aprueba y retira desde el SQL Editor, y el permiso de corrección se queda",aprobar=2 permiso=-/aprobada retirar=2 permiso_despues=-/aprobada,aprobar=2 permiso=-/aprobada retirar=2 permiso_despues=-/aprobada,true
49,"factura anulada: no se marca cobrada, y facturas_cobro no dice cuadra",marcar=MX003 pagada=f cobrado=0.00 aviso=anulada/NC,marcar=MX003 pagada=f cobrado=0.00 aviso=anulada/NC,true
50,"un recibo en la apertura: el MX003 dice la apertura, y en 0 espera en la bandeja",borrar=MX003/apertura en_cero=pendiente/en_apertura,borrar=MX003/apertura en_cero=pendiente/en_apertura,true
51,"rehacer: nunca un reverso suelto (factura anulada, obra sin regla)",anulada=MX008 sin_regla=MX008 reversos=0 saldo_2041=400.00,anulada=MX008 sin_regla=MX008 reversos=0 saldo_2041=400.00,true
52,anular una factura reversada: ni con cobros ni sin su nota de crédito,con_cobro=MX008 sin_cobro=MX008 estados=emitida/emitida notas=0,con_cobro=MX008 sin_cobro=MX008 estados=emitida/emitida notas=0,true
53,"fechado antes del corte y subido después: a la bandeja, y Edgar lo confirma","-3200060=pendiente/fecha_antes_del_corte -3200061=no_aplica/antes_del_corte -3200062=no_aplica/antes_del_corte -3200063=pendiente/fecha_antes_del_corte bandeja=-3200060,-3200063","-3200060=pendiente/fecha_antes_del_corte -3200061=no_aplica/antes_del_corte -3200062=no_aplica/antes_del_corte -3200063=pendiente/fecha_antes_del_corte bandeja=-3200060,-3200063",true
54,"inactivos frenan lo nuevo, no la deuda que ya estaba",tarjeta=3/1:-245.37 cxp=3/1:-1288.10 nuevo=pendiente/tarjeta/inactiva,tarjeta=3/1:-245.37 cxp=3/1:-1288.10 nuevo=pendiente/tarjeta/inactiva,true
55,lo que está en la apertura no entra dos veces,estado=pendiente/en_apertura partida=-500.00 propios=0/0 doble=false,estado=pendiente/en_apertura partida=-500.00 propios=0/0 doble=false,true
56,"retención de un GC: espera a que se diga, y va a 1120",antes=pendiente/retencion lineas=1110:9000.00:5415-roberto-9ojv:-:-:facturas/-3200090 | 1120:1000.00:5415-roberto-9ojv:-:-:facturas/-3200090 | 4010:-10000.00:5415-roberto-9ojv:-:-:- cobrada=0.00/0.00,antes=pendiente/retencion lineas=1110:9000.00:5415-roberto-9ojv:-:-:facturas/-3200090 | 1120:1000.00:5415-roberto-9ojv:-:-:facturas/-3200090 | 4010:-10000.00:5415-roberto-9ojv:-:-:- cobrada=0.00/0.00,true
57,"devengo: si las horas cambian de obra, el control lo marca y se rehace",antes=false accion=sustituido obra2=240.00 obra1=- despues=true,antes=false accion=sustituido obra2=240.00 obra1=- despues=true,true
58,"trabajo externo sin proveedor: aviso en la bandeja; con proveedor_id, a su nombre",antes=aviso/sin_proveedor despues=fuera tercero=proveedor/suyo costo=2400.00,antes=aviso/sin_proveedor despues=fuera tercero=proveedor/suyo costo=2400.00,true
59,un cobro anulado deja su movimiento del banco al bueno,dos_vigentes=MX008 corregido=entró cobros=anulado/vigente,dos_vigentes=MX008 corregido=entró cobros=anulado/vigente,true
60,devengo: las horas del dueño (oficial) no entran,oficial=si linea_de_edgar=0,oficial=si linea_de_edgar=0,true
61,una factura en negativo no cuadra: aviso y control partidas,saldo=-400.00 aviso=en_negativo partidas=false,saldo=-400.00 aviso=en_negativo partidas=false,true
62,"un cobro no se aplica a una factura posterior; el anticipo, desde su fecha",cobro=MX002 anticipo_antes=MX002 anticipo_despues=2026-10-21,cobro=MX002 anticipo_antes=MX002 anticipo_despues=2026-10-21,true
63,cada cuenta de los puentes y del cobro es de su clase,cobro_no_banco=MX004 banco_no_banco=MX004 cxc_costo=MX004 cxp_banco=MX004,cobro_no_banco=MX004 banco_no_banco=MX004 cxc_costo=MX004 cxp_banco=MX004,true
64,el control de mano de obra vigila también el burden (5010-5019),obra_desde_banco=marcado real_desde_banco=marcado amortizacion_wc=no reparto=no,obra_desde_banco=marcado real_desde_banco=marcado amortizacion_wc=no reparto=no,true
65,el mismo cobro dos veces entra una (llave_cliente),segunda=true/mismo otra=MX008 anticipo=true/mismo cobros=2,segunda=true/mismo otra=MX008 anticipo=true/mismo cobros=2,true
66,últimos 4 con adornos: casan con la tarjeta,-3200180=contabilizado -3200181=contabilizado -3200182=pendiente/tarjeta/corrige alta=9997,-3200180=contabilizado -3200181=contabilizado -3200182=pendiente/tarjeta/corrige alta=9997,true
67,"devengo: sin horas aprobadas, se deshace",accion=reversado mes=0.00/0.00 estado=no_aplica/sin_horas,accion=reversado mes=0.00/0.00 estado=no_aplica/sin_horas,true
68,una factura sin fecha anulada sale de la bandeja,antes=pendiente/sin_fecha despues=no_aplica/anulada en_bandeja=0,antes=pendiente/sin_fecha despues=no_aplica/anulada en_bandeja=0,true
69,el equipo no escribe recibos por recibos_equipo,editar=42501 borrar=42501 anon=42501 con_escritura=42501/42501/42501 control=false asientos=1/0,editar=42501 borrar=42501 anon=42501 con_escritura=42501/42501/42501 control=false asientos=1/0,true
70,"sin forma de pago: a la cuenta del proveedor con términos, o espera con el SQL",con_terminos=contabilizado:2010:proveedor:proveedores.terminos sin_terminos=pendiente/metodo_pago da_el_sql=t por_leer=espera/por_leer avisa=t,con_terminos=contabilizado:2010:proveedor:proveedores.terminos sin_terminos=pendiente/metodo_pago da_el_sql=t por_leer=espera/por_leer avisa=t,true
71,"un repetido sin obra sale de «Por completar» anulándolo, y el 🗑 lo dice",borrar=MX003/anular total_cero=no_aplica/total_cero borrar_otra_vez=MX003/anular/sin_no_hace_falta anular=anulado por_completar=f,borrar=MX003/anular total_cero=no_aplica/total_cero borrar_otra_vez=MX003/anular/sin_no_hace_falta anular=anulado por_completar=f,true
72,"de diciembre a enero, con diciembre abierto: reverso en diciembre y asiento normal en enero",recibos: reverso=2026-12-30/normal nuevo=2027-01-02/normal/sustituye estado=contabilizado | trabajos_externos: reverso=2026-12-31/normal nuevo=2027-01-02/normal/sustituye estado=contabilizado reversos=t,recibos: reverso=2026-12-30/normal nuevo=2027-01-02/normal/sustituye estado=contabilizado | trabajos_externos: reverso=2026-12-31/normal nuevo=2027-01-02/normal/sustituye estado=contabilizado reversos=t,true
73,de diciembre (cerrado) a enero: reverso como ajuste de diciembre y asiento normal en enero,recibos: reverso=2027-01-01/ajuste_cpa/2026-12 nuevo=2027-01-02/normal/sustituye estado=contabilizado | trabajos_externos: reverso=2027-01-01/ajuste_cpa/2026-12 nuevo=2027-01-02/normal/sustituye estado=contabilizado reversos=t,recibos: reverso=2027-01-01/ajuste_cpa/2026-12 nuevo=2027-01-02/normal/sustituye estado=contabilizado | trabajos_externos: reverso=2027-01-01/ajuste_cpa/2026-12 nuevo=2027-01-02/normal/sustituye estado=contabilizado reversos=t,true
74,el devengo estándar no cuenta dos veces lo que la nómina ya pagó,primero=posteado control=f/convive deshacer=reversado control=t otra_vez=MX008/nomina mes=240.00 siguiente=0.00,primero=posteado control=f/convive deshacer=reversado control=t otra_vez=MX008/nomina mes=240.00 siguiente=0.00,true
75,"la nota de crédito salda la partida como está hoy, cuenta por cuenta",nota=NC-2026-0001 saldos=0.00/0.00 aviso=anulada partidas=t castigo=MX008/nombra reclasificada_despues=f/con_saldo,nota=NC-2026-0001 saldos=0.00/0.00 aviso=anulada partidas=t castigo=MX008/nombra reclasificada_despues=f/con_saldo,true
76,un ✎ que deja al recibo sin regla no reversa su asiento: espera la regla,retenidos=1/0:contabilizado/proveedor 1/0:contabilizado/categoria deuda=-300.00 documentos=f/retenido bandeja=2 arreglado=3/1 3/1 deuda=-300.00,retenidos=1/0:contabilizado/proveedor 1/0:contabilizado/categoria deuda=-300.00 documentos=f/retenido bandeja=2 arreglado=3/1 3/1 deuda=-300.00,true
77,mano de obra: un asiento a mano «reversible» no pasa por devengo,ok=f 5001_a_mano=t 5000_a_mano=t devengo=f,ok=f 5001_a_mano=t 5000_a_mano=t devengo=f,true
78,el mismo ticket dos veces: el segundo espera (duplicado); el control lo ve,segundo=pendiente/duplicado nombra=t bandeja=t asientos=0/0 confirmado=contabilizado control=t editado=contabilizado/duplicado control=f/los_dos,segundo=pendiente/duplicado nombra=t bandeja=t asientos=0/0 confirmado=contabilizado control=t editado=contabilizado/duplicado control=f/los_dos,true
79,facturas_cobro: el descuento no es dinero cobrado,app=8000.00 libro=7600.00 descuento=400.00 saldo=0.00 aviso=con_descuento,app=8000.00 libro=7600.00 descuento=400.00 saldo=0.00 aviso=con_descuento,true
80,impuesto: subtotal + tax que no es el total espera; «incluido» solo si se comprobó,no_cuadra=pendiente/impuesto cuadra=incluido sin_tax=no_se_pudo confirmado=contabilizado/confirmo,no_cuadra=pendiente/impuesto cuadra=incluido sin_tax=no_se_pudo confirmado=contabilizado/confirmo,true
81,una DEVOLUCIÓN con total positivo espera; con negativo entra como devolución,positiva=pendiente/devolucion negativa=contabilizado:-45.99 confirmada=contabilizado:45.99,positiva=pendiente/devolucion negativa=contabilizado:-45.99 confirmada=contabilizado:45.99,true
82,reglas: cada papel con su cuenta; una categoría compra algo,sueldos_en_cxp=MX004 use_tax_en_cxp=MX004 categoria_banco=MX004 categoria_cxc=MX004 categoria_depreciacion=MX004 categoria_bodega=ok tarjeta_en_sueldos=MX004 guarda_apagada=f/dos_papeles,sueldos_en_cxp=MX004 use_tax_en_cxp=MX004 categoria_banco=MX004 categoria_cxc=MX004 categoria_depreciacion=MX004 categoria_bodega=ok tarjeta_en_sueldos=MX004 guarda_apagada=f/dos_papeles,true
83,"el ✎ no des-anula un recibo; fn_recibo_desanular sí, con su rastro",anulado=2/1 lapiz=anulado/2/1/nota_guardada desanular=leido/3/1 sustituye=t cambios=estado: anulado → leido motivo=t,anulado=2/1 lapiz=anulado/2/1/nota_guardada desanular=leido/3/1 sustituye=t cambios=estado: anulado → leido motivo=t,true
84,fecha leída posterior a la subida: se pregunta; subido antes del corte: no entra,posterior=pendiente/fecha_posterior_a_subida confirmada=contabilizado subido_antes=no_aplica/antes_del_corte/mal_leida margen=contabilizado,posterior=pendiente/fecha_posterior_a_subida confirmada=contabilizado subido_antes=no_aplica/antes_del_corte/mal_leida margen=contabilizado,true
85,una cuenta retirada: el recibo viejo no sale del libro ni deja saldo atrapado,foto=1/0:contabilizado/cuenta saldo=0.00 anular=MX008 control=t tras_reverso=f,foto=1/0:contabilizado/cuenta saldo=0.00 anular=MX008 control=t tras_reverso=f,true
86,anular una factura con su cuenta de ingreso retirada: MX004 en claro,anular=MX004/dice_como,anular=MX004/dice_como,true
87,"cobros: factura_id se lee una vez; lo que no es un entero, 22023",espacio=-3300170 detras=-3300170 letras=22023 largo=22023 decimal=22023 abierto=500.00,espacio=-3300170 detras=-3300170 letras=22023 largo=22023 decimal=22023 abierto=500.00,true
88,la foto de un recibo es suya y nueva (ni la de otro recibo ni la de otro),ajena=42501 fuera_de_recibos=42501 foto_de_otro=42501 propia=ok camara_ajena=MX003,ajena=42501 fuera_de_recibos=42501 foto_de_otro=42501 propia=ok camara_ajena=MX003,true
89,horas: no se renumeran; horas y sello a la vez quedan escritos,equipo_renumera=no_se_renumera edgar_renumera_aprobada=no_se_renumera horas_y_sello=aprobada>invalidada>aprobada sigue_aprobada=t horas=6.0,equipo_renumera=no_se_renumera edgar_renumera_aprobada=no_se_renumera horas_y_sello=aprobada>invalidada>aprobada sigue_aprobada=t horas=6.0,true
90,el papel no se mueve ni se reemplaza en Storage,mover_recibo=0 mover_documento=0 reemplazar=0 mover_foto_de_obra=1 meter_en_recibos=42501 subir=1 control=t sin_la_policy=f,mover_recibo=0 mover_documento=0 reemplazar=0 mover_foto_de_obra=1 meter_en_recibos=42501 subir=1 control=t sin_la_policy=f,true
91,el ✎ del total con subtotal y tax de la lectura entra (con aviso) y la foto nueva también,total=243.57 aviso=contabilizado/impuesto foto=recibos/c3-pruebas/nueva-91.jpg asientos=5/2 documentos=t confirmado=contabilizado/- asientos=5/2,total=243.57 aviso=contabilizado/impuesto foto=recibos/c3-pruebas/nueva-91.jpg asientos=5/2 documentos=t confirmado=contabilizado/- asientos=5/2,true
92,"des-anular un recibo: el conector recibe MX003 con el camino, no un «hecho» callado",conector=MX003/dice_como nota=guardada/anulado desanular_conector=42501 desanular_edgar=leido/contabilizado,conector=MX003/dice_como nota=guardada/anulado desanular_conector=42501 desanular_edgar=leido/contabilizado,true
93,"el vocabulario del conector entra: cuenta_proveedor, debito, credito, renta_equipo","arranque=credito/tarjeta,cuenta_proveedor/cuenta_proveedor,debito/tarjeta,labor_externo/5200,renta_equipo/5300 cuenta_proveedor=2010 debito=2100-9998 renta=5300 sin_asignar=sin_obra","arranque=credito/tarjeta,cuenta_proveedor/cuenta_proveedor,debito/tarjeta,labor_externo/5200,renta_equipo/5300 cuenta_proveedor=2010 debito=2100-9998 renta=5300 sin_asignar=sin_obra",true
94,una factura que la apertura ya trae no entra otra vez por su puente,dos_veces=f cobrar_el_doble=MX008 pasada=no_aplica/en_apertura saldo=2000.00 partidas=t ya_estaba=no_aplica/en_apertura asientos=0/0,dos_veces=f cobrar_el_doble=MX008 pasada=no_aplica/en_apertura saldo=2000.00 partidas=t ya_estaba=no_aplica/en_apertura asientos=0/0,true
95,"el mismo depósito dos veces no entra; si es otro, se dice",banco=MX008/casar otra_llave=MX008 confirmado=entró/con_motivo duplicados=t por_debajo=f,banco=MX008/casar otra_llave=MX008 confirmado=entró/con_motivo duplicados=t por_debajo=f,true
96,el mismo ticket con otro alias del proveedor espera como duplicado,alias=pendiente/duplicado mismo_proveedor=t otro_proveedor=contabilizado,alias=pendiente/duplicado mismo_proveedor=t otro_proveedor=contabilizado,true
